abc, ac, abc, bd, ab, bc, ea, abc, fac, da, abf, bca, cab, abc, ac, abc, bd, ad,
abc, ac, abc, bd, ab, bc, ea, abc, fac, da, abf, bca, cab, abc, ac, abc, bd, ad,
abc, ac, abc, bd, ab, bc, ea, abc, fac, da, abf, bca, cab, abc, ac, abc, bd, ad,
abc, ac, abc, bd, ab, bc, ea, abc, fac, da, abf, bca, cab, abc, ac, abc, bd, ad,
abc, ac, abc, bd, ab, bc, ea, abc, fac, da, abf, bca, cab, abc, ac, abc, bd, ad,
abc, ac, abc, bd, ab, bc, ea, abc, fac, da, abf, bca, cab, abc, ac, abc, bd, ad,
abc, ac, abc, bd, ab, bc, ea, abc, fac, da, abf, bca, cab, abc, ac, abc, bd, ad,
abc, ac, abc, bd, ab, bc, ea, abc, fac, da, abf, bca, cab, abc, ac, abc, bd, ad,
abc, ac, abc, bd, ab, bc, ea, abc, fac, da, abf, bca, cab, abc, ac, abc, bd, ad,
abc, ac, abc, bd, ab, bc, ea, abc, fac, da, abf, bca, cab, abc, ac, abc, bd, ad,
abc, ac, abc, bd, ab, bc, ea, abc, fac, da, abf, bca, cab, abc, ac, abc, bd, ad,
abc, ac, abc, bd, ab, bc, ea, abc, fac, da, abf, bca, cab, abc, ac, abc, bd, ad,
abc, ac, abc, bd, ab, bc, ea, abc, fac, da, abf, bca, cab, abc, ac, abc, bd, ad,
abc, ac, abc, bd, ab, bc, ea, abc, fac, da, abf, bca, cab, abc, ac, abc, bd, ad,
abc, ac, abc, bd, ab, bc, ea, abc, fac, da, abf, bca, cab, abc, ac, abc, bd, ad,
abc, ac, abc, bd, ab, bc, ea, abc, fac, da, abf, bca, cab, abc, ac, abc, bd, ad,
abc, ac, abc, bd, ab, bc, ea, abc, fac, da, abf, bca, cab, abc, ac, abc, bd, ad,
abc, ac, abc, bd, ab, bc, ea, abc, fac, da, abf, bca, cab, abc, ac, abc, bd, ad,
abc, ac, abc, bd, ab, bc, ea, abc, fac, da, abf, bca, cab, abc, ac, abc, bd, ad,
abc, ac, abc, bd, ab, bc, ea, abc, fac, da, abf, bca, cab, abc, ac, abc, bd, ad,
